network_name,common_aliases,Bridges,Field 4
Agoric,"BLD,Agoric",,
Akash,"AKT,Akash Network",,
Aleph Zero,"Aleph,AZERO",,
AlienX,ALIEN,,
Altlayer,"ALT,Altlayer",,
Ancient8,"Ancient,A8",,
Ape Chain,"APE,Apechain",,
Aptos,"APT,Aptos",,
Arbitrum,"ARB,Arbitrum One,arb1",,
Arbitrum Nova,"Nova,arbnova",,
Archway,ARCH,,
AseanX,ASEANX,,
AssetMantle,MNTL,,
Astar,"ASTR,Astar,Astar zkEVM,ASTR zkEVM",,
Aura Mainnet,Aura,,
Aurora,"AUR,Aurora",,
Avalanche,"AVAX,Avalanche C-Chain,avax-c",,
Axelar,"AXL,Axelar",,
B3,"B 3,B Three",,
B² Network,"B2,B Square,B²",,
Bahamut,BAHAMUT,,
Base,"BASE,Base Chain",,
Beam,BEAM,,
BEVM,BEVM,,
BiFrost,"BFC,Bifrost",,
BitCanna,BCNA,,
Bitcoin,"BTC,Bitcoin,Bitcoin Network",,
Bitcoin Cash,BCH,,
Bitgert,BRISE,,
Bitlayer,BITLAYER,,
Bitrock,"BIT,Bitrock Chain",,
BitSong,BTSG,,
BitTorrent,BTT,,
Blast,BLAST,,
BNB Chain,"BSC,Binance Smart Chain,bnb,Binance Chain,Binance",,
BOB,BOB Chain,,
Boba,"BOBA,Boba Network",,
Boba BNB,BobaBNB,,
BomeChain,BOME,,
BounceBit,BOUNCE,,
Callisto,CLO,,
Canto,CANTO,,
Carbon,"SWTH,Carbon",,
Cardano,ADA,,
Celestia,TIA,,
Celo,CELO,,
CheeseChain,CHEESE,,
Cheqd,CHEQ,,
Chihuahua,HUAHUA,,
Clique,CLIQUE,,
Clover P-Chain,"Clover,Clover chain",,
Codex,CODEX,,
Combo,COMBO,,
Comdex,CMDX,,
Conflux,"CFX,Conflux eSpace",,
Core Blockhain,CORE,,
Cosmos Hub,"ATOM,Cosmos,Hub",,
Crescent,"CRE,Crescent",,
